iter	Recall	Logloss
374	0.92	0.3323075567
375	0.9166666667	0.3321209547
376	0.9166666667	0.3316919949
377	0.9166666667	0.3316144717
378	0.92	0.3312943708
379	0.92	0.3309967588
380	0.92	0.3305115379
381	0.92	0.3303125797
382	0.92	0.3300110801
383	0.92	0.329649878
384	0.92	0.3293234959
385	0.92	0.3289263844
386	0.92	0.3287713123
387	0.9233333333	0.3286091043
388	0.9233333333	0.3283946886
389	0.92	0.3280642124
390	0.92	0.3279331105
391	0.92	0.3279331052
392	0.92	0.3279330999
393	0.92	0.3275950651
394	0.92	0.3275704946
395	0.92	0.3271450632
396	0.92	0.3269881594
397	0.92	0.3266433064
398	0.92	0.3265319195
399	0.92	0.32651001
400	0.9233333333	0.3263872453
401	0.9233333333	0.3262313902
402	0.9233333333	0.3260207138
403	0.92	0.3257615664
404	0.92	0.3254956516
405	0.92	0.3253966554
406	0.9233333333	0.325144753
407	0.9233333333	0.3247238507
408	0.9233333333	0.3242506813
409	0.92	0.3240601206
410	0.92	0.323676675
411	0.9233333333	0.3233603082
412	0.9233333333	0.323008067
413	0.9266666667	0.3227373653
414	0.9266666667	0.3226380649
415	0.93	0.3222291805
416	0.93	0.3220377445
417	0.93	0.3217967206
418	0.93	0.3217952142
419	0.93	0.3217814179
420	0.93	0.3213294961
421	0.93	0.3213199649
422	0.93	0.3209071358
423	0.93	0.3205468787
424	0.9333333333	0.3203128261
425	0.9333333333	0.3199865692
426	0.9333333333	0.3194261895
427	0.9333333333	0.3190590691
428	0.9333333333	0.3189145364
429	0.9333333333	0.318396258
430	0.9333333333	0.3182075639
431	0.9333333333	0.3180805411
432	0.9333333333	0.3177741213
433	0.9333333333	0.3177382712
434	0.9366666667	0.3175116667
435	0.9366666667	0.3172061511
436	0.9366666667	0.3169509888
437	0.9366666667	0.3166785437
438	0.9366666667	0.3163145026
439	0.9366666667	0.3160033843
440	0.9366666667	0.3158067361
441	0.9366666667	0.3154270394
442	0.9366666667	0.3153296366
443	0.9366666667	0.3148767593
444	0.9366666667	0.3146958277
445	0.9366666667	0.3145691154
446	0.9366666667	0.3145546686
447	0.9366666667	0.3145010152
448	0.9366666667	0.3144633663
449	0.9366666667	0.3143574119
450	0.9366666667	0.3142384331
451	0.9366666667	0.3138070948
452	0.9366666667	0.3134874717
453	0.9366666667	0.3131015302
454	0.9366666667	0.3129415908
455	0.9366666667	0.312814185
456	0.9366666667	0.3125032672
457	0.9366666667	0.3122790192
458	0.9366666667	0.3119536604
459	0.9366666667	0.3117441197
460	0.9366666667	0.3112965664
461	0.9366666667	0.3110081948
462	0.9366666667	0.3109396977
463	0.9366666667	0.3108043641
464	0.9366666667	0.3105343484
465	0.9366666667	0.3102642568
466	0.9366666667	0.3101288071
467	0.9366666667	0.3099190932
468	0.9366666667	0.3098335215
469	0.9366666667	0.3096715632
470	0.9366666667	0.3092661382
471	0.9366666667	0.3092661374
472	0.9366666667	0.3090328332
473	0.94	0.3086982019
474	0.94	0.3084102365
475	0.94	0.3080489004
476	0.94	0.3075491932
477	0.9433333333	0.3072746729
478	0.9433333333	0.3071700602
479	0.9433333333	0.3069042372
480	0.9433333333	0.3067111937
481	0.9433333333	0.3066375608
482	0.9433333333	0.3063297614
483	0.9433333333	0.30589319
484	0.9433333333	0.3056009753
