Топ-10 важных признаков (CatBoost):
                    feature  importance
         Satisfaction Score   85.377431
            Online Security    8.467659
                   Contract    1.496612
       Number of Dependents    1.453084
           Tenure in Months    1.147482
    Avg Monthly GB Download    0.663361
                       CLTV    0.642468
Total Long Distance Charges    0.545729
               Streaming TV    0.206173
                        Age    0.000000
